task_id,edge_node_id,edge_server_id,edge_node_memory,edge_server_memory,edge_cpu_mips,edge_server_cpu_mips,mobility_status,en_uplink_bandwidth,en_downlink_bandwidth,es_uplink_bandwidth,es_downlink_bandwidth,edge_node_Latitude_position,edge_node_Longitude_position,edge_server_position,distance_en_to_es,distance_es_to_cs,deadlines,task_size,subtasks
10,41,2,75.94169374785574,189.06326110362454,24.04446369442556,12.506989277696757,static,58.26153500149517,15.580091549843091,89.70304172248987,43.41791344499107,9,-114,"[230.7749, 384.4191]",740.9694449779221,1044.1024461186219,325.1253964226601,3.4152475276890226,"[{'subtask_id': 0, 'subtask_size': 3.4152475276890226, 'network_delay_to_edge_server': 0.020868830288060483, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.6421928498058467, 'task_completion_time_cloud': 1.271634951282492, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
11,71,4,54.599423276972765,568.1132131571101,19.65528891615484,17.467060818147193,mobile,11.932993299133122,13.5147943765982,21.163988429352386,37.71304277231133,88,71,"[750.0522, -355.2437]",883.8432527269131,1044.1024461186219,191.4810104163809,3.4471584824860644,"[{'subtask_id': 0, 'subtask_size': 1.7235792412430322, 'network_delay_to_edge_server': 0.08822048681933374, 'network_delay_to_cloud_server': 0.05247058531290011, 'task_completion_time_edge': 0.9067925123295756, 'task_completion_time_cloud': 1.4450796030175612, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 1.7235792412430322, 'network_delay_to_edge_server': 0.08822048681933374, 'network_delay_to_cloud_server': 0.05247058531290011, 'task_completion_time_edge': 0.8541315864141803, 'task_completion_time_cloud': 1.0963156142054455, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
12,82,1,77.68273676061932,518.5772746162318,7.261393496185289,34.853844389226694,static,90.51817450753813,62.7701563277806,19.988389333958757,83.4259828880424,59,111,"[950.7783, 927.4179]",877.4611577676187,1044.1024461186219,292.6751693876869,0.6291448576926804,"[{'subtask_id': 0, 'subtask_size': 0.3145724288463402, 'network_delay_to_edge_server': 0.01543481094943678, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.25750859411908295, 'task_completion_time_cloud': 1.1945257439893284, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.3145724288463402, 'network_delay_to_edge_server': 0.01543481094943678, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.6926021173740641, 'task_completion_time_cloud': 1.0445262375440696, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
13,38,2,12.802751184097975,189.06326110362454,1.8351488986269082,12.506989277696757,static,41.02098454201059,83.2422714455283,89.70304172248987,43.41791344499107,32,10,"[230.7749, 384.4191]",806.8115368479122,1044.1024461186219,57.27375086663836,1.0142084045391575,"[{'subtask_id': 0, 'subtask_size': 0.33806946817971917, 'network_delay_to_edge_server': 0.028411824604384437, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.182827055561304, 'task_completion_time_cloud': 1.1649002489674976, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.33806946817971917, 'network_delay_to_edge_server': 0.028411824604384437, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.5765047891665599, 'task_completion_time_cloud': 0.5714068782760511, 'offloading_decision': 'edge_server', 'processing_at': 'edge_server'}, {'subtask_id': 2, 'subtask_size': 0.33806946817971917, 'network_delay_to_edge_server': 0.028411824604384437, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.2318301448729028, 'task_completion_time_cloud': 1.7749300617276267, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
14,67,2,11.763260068505598,950.336636245806,4.019966938400041,8.878686132602464,static,73.78712049060198,84.91520077514211,43.49120193771032,82.47973824832923,-21,-143,"[-329.2817, -700.006]",704.0951780767214,1044.1024461186219,184.43889896556888,4.856519651458253,"[{'subtask_id': 0, 'subtask_size': 1.6188398838194178, 'network_delay_to_edge_server': 0.01707297656192515, 'network_delay_to_cloud_server': 0.02821366844256068, 'task_completion_time_edge': 0.8243045278133098, 'task_completion_time_cloud': 1.2015417276209939, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.6188398838194178, 'network_delay_to_edge_server': 0.01707297656192515, 'network_delay_to_cloud_server': 0.02821366844256068, 'task_completion_time_edge': 0.2517796177148784, 'task_completion_time_cloud': 1.4817631799565565, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 1.6188398838194178, 'network_delay_to_edge_server': 0.01707297656192515, 'network_delay_to_cloud_server': 0.02821366844256068, 'task_completion_time_edge': 0.18465290564445042, 'task_completion_time_cloud': 0.7771524624109674, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
15,62,0,73.194898875793,390.7046483451773,3.9624686383013117,1.7842756752271867,mobile,90.52485559198047,73.07783496475489,25.71737657625924,87.87819636996132,-86,-127,"[230.7749, 384.4191]",646.4682932603037,1044.1024461186219,47.003889086164506,0.9868817962125679,"[{'subtask_id': 0, 'subtask_size': 0.24672044905314197, 'network_delay_to_edge_server': 0.014279031278293764, 'network_delay_to_cloud_server': 0.04410472722953436, 'task_completion_time_edge': 1.0033771201577428, 'task_completion_time_cloud': 1.6179121875333071, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 0.24672044905314197, 'network_delay_to_edge_server': 0.014279031278293764, 'network_delay_to_cloud_server': 0.04410472722953436, 'task_completion_time_edge': 0.8487247230261862, 'task_completion_time_cloud': 1.6419278442613996, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.24672044905314197, 'network_delay_to_edge_server': 0.014279031278293764, 'network_delay_to_cloud_server': 0.04410472722953436, 'task_completion_time_edge': 0.329407467833183, 'task_completion_time_cloud': 1.5408376745263803, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 0.24672044905314197, 'network_delay_to_edge_server': 0.014279031278293764, 'network_delay_to_cloud_server': 0.04410472722953436, 'task_completion_time_edge': 0.7377260463122856, 'task_completion_time_cloud': 1.0340664619642916, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
16,20,2,46.49031842197958,189.06326110362454,7.385434877942364,12.506989277696757,mobile,70.18620334193547,81.65276156238842,89.70304172248987,43.41791344499107,-52,96,"[230.7749, 384.4191]",775.0976070088785,1044.1024461186219,109.09765638432582,2.433606704190743,"[{'subtask_id': 0, 'subtask_size': 0.6084016760476858, 'network_delay_to_edge_server': 0.01812330245418553, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.5010022571977366, 'task_completion_time_cloud': 1.1835336912196945, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.6084016760476858, 'network_delay_to_edge_server': 0.01812330245418553, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.32910516442057197, 'task_completion_time_cloud': 1.7759016772769516, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.6084016760476858, 'network_delay_to_edge_server': 0.01812330245418553, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.5840656192032971, 'task_completion_time_cloud': 1.294772559835539, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 0.6084016760476858, 'network_delay_to_edge_server': 0.01812330245418553, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.15779157010334555, 'task_completion_time_cloud': 2.013380700182604, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
17,94,1,82.23493594224422,518.5772746162318,12.0696694256477,34.853844389226694,mobile,37.669848617044046,46.477064190622386,19.988389333958757,83.4259828880424,-81,170,"[950.7783, 927.4179]",795.2676555669103,1044.1024461186219,349.1131662483282,3.738730302753736,"[{'subtask_id': 0, 'subtask_size': 3.738730302753736, 'network_delay_to_edge_server': 0.030522768293152994, 'network_delay_to_cloud_server': 0.055249555756430174, 'task_completion_time_edge': 0.42623738331694544, 'task_completion_time_cloud': 2.0196769885268617, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
18,62,2,73.194898875793,189.06326110362454,3.9624686383013117,12.506989277696757,mobile,90.52485559198047,73.07783496475489,89.70304172248987,43.41791344499107,-86,-127,"[230.7749, 384.4191]",646.4682932603037,1044.1024461186219,102.0832070793124,1.8439522710025944,"[{'subtask_id': 0, 'subtask_size': 0.4609880677506486, 'network_delay_to_edge_server': 0.014279031278293764, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.7542721540333315, 'task_completion_time_cloud': 1.0145319264642272, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 0.4609880677506486, 'network_delay_to_edge_server': 0.014279031278293764, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.4979812167374734, 'task_completion_time_cloud': 0.8096740166346743, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.4609880677506486, 'network_delay_to_edge_server': 0.014279031278293764, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.8621484486718751, 'task_completion_time_cloud': 1.1231585436894447, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 3, 'subtask_size': 0.4609880677506486, 'network_delay_to_edge_server': 0.014279031278293764, 'network_delay_to_cloud_server': 0.01636840622390555, 'task_completion_time_edge': 0.7753866818757034, 'task_completion_time_cloud': 1.9023679237666882, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
19,63,4,52.47776227062971,207.47396657570152,14.192555586123879,62.41032068671061,static,21.44796731341519,79.46757308905848,57.094226375583276,23.3586744597519,-5,-18,"[950.7783, 927.4179]",761.5311134752736,1044.1024461186219,443.0259753815306,3.7765747619332943,"[{'subtask_id': 0, 'subtask_size': 0.9441436904833236, 'network_delay_to_edge_server': 0.05043212050557701, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.931298257705266, 'task_completion_time_cloud': 1.3199931293087181, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 0.9441436904833236, 'network_delay_to_edge_server': 0.05043212050557701, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.4303057454796029, 'task_completion_time_cloud': 1.6479830574299668, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 0.9441436904833236, 'network_delay_to_edge_server': 0.05043212050557701, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.699024071285944, 'task_completion_time_cloud': 0.794117916825778, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 3, 'subtask_size': 0.9441436904833236, 'network_delay_to_edge_server': 0.05043212050557701, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.2656575729000112, 'task_completion_time_cloud': 1.680458981078633, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
20,9,0,13.134262011846877,162.7034748314175,87.96993953925664,8.809574997737865,mobile,23.825461479876147,10.43189552245155,46.16478505551902,33.37947637985806,-32,-164,"[750.0522, -355.2437]",688.1497339902777,1044.1024461186219,111.2198897915173,2.893680442765718,"[{'subtask_id': 0, 'subtask_size': 2.893680442765718, 'network_delay_to_edge_server': 0.045412653425904864, 'network_delay_to_cloud_server': 0.026882044907445668, 'task_completion_time_edge': 1.0016976840650407, 'task_completion_time_cloud': 1.7014425486562081, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
21,2,1,78.35226447758103,204.45409426239155,49.88142984150732,5.389302254838449,mobile,46.95957321558063,87.94692877677561,76.1647945964421,49.45252157528236,-41,-3,"[230.7749, 384.4191]",735.3561421453485,1044.1024461186219,346.1672774112673,4.155518103668683,"[{'subtask_id': 0, 'subtask_size': 4.155518103668683, 'network_delay_to_edge_server': 0.024971693154015553, 'network_delay_to_cloud_server': 0.018349937778163787, 'task_completion_time_edge': 0.12811026345011647, 'task_completion_time_cloud': 0.8767252510903726, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
22,76,3,41.67625090309104,883.6809337468321,2.3204594038258857,2.0817387549256874,mobile,92.02591013387382,25.843559884798196,46.82484745751728,18.92222088368436,-3,-162,"[950.7783, 927.4179]",716.7988080283686,1044.1024461186219,27.131592472082488,4.235034834427434,"[{'subtask_id': 0, 'subtask_size': 1.0587587086068584, 'network_delay_to_edge_server': 0.014450498903231591, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.14324823428741865, 'task_completion_time_cloud': 1.269577199545338, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 1.0587587086068584, 'network_delay_to_edge_server': 0.014450498903231591, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.13993671212838882, 'task_completion_time_cloud': 1.3664433382919103, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 1.0587587086068584, 'network_delay_to_edge_server': 0.014450498903231591, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.45862413689155057, 'task_completion_time_cloud': 0.535134048788276, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 1.0587587086068584, 'network_delay_to_edge_server': 0.014450498903231591, 'network_delay_to_cloud_server': 0.026576694990339815, 'task_completion_time_edge': 0.32308131290923475, 'task_completion_time_cloud': 1.8635697444577513, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
23,27,4,58.30527807920835,590.1718199605139,14.357296008776165,9.457918856992732,mobile,65.52171385869624,38.17367250026895,79.97418519493885,23.57476884440068,-18,94,"[-329.2817, -700.006]",802.6827403095758,1044.1024461186219,265.6288543625858,3.888446571459827,"[{'subtask_id': 0, 'subtask_size': 1.9442232857299135, 'network_delay_to_edge_server': 0.019275529740768012, 'network_delay_to_cloud_server': 0.01772454709587467, 'task_completion_time_edge': 0.7263903504657698, 'task_completion_time_cloud': 0.8096799394514587, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.9442232857299135, 'network_delay_to_edge_server': 0.019275529740768012, 'network_delay_to_cloud_server': 0.01772454709587467, 'task_completion_time_edge': 0.713624906710862, 'task_completion_time_cloud': 1.8192673719409471, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
24,14,3,93.52964539289988,414.6589311285014,83.97182198080989,4.208981147015501,mobile,35.94915893804453,85.22047654843395,91.33054116789319,59.07683631908986,-5,-108,"[-329.2817, -700.006]",729.3825681978491,1044.1024461186219,221.0419273368065,3.96869779730116,"[{'subtask_id': 0, 'subtask_size': 0.99217444932529, 'network_delay_to_edge_server': 0.03146397531311604, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.4237511970804505, 'task_completion_time_cloud': 1.6505261709284573, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.99217444932529, 'network_delay_to_edge_server': 0.03146397531311604, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.9147300846442997, 'task_completion_time_cloud': 1.63357069297206, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 0.99217444932529, 'network_delay_to_edge_server': 0.03146397531311604, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.8947444606760254, 'task_completion_time_cloud': 1.810469717729998, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 3, 'subtask_size': 0.99217444932529, 'network_delay_to_edge_server': 0.03146397531311604, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.9550691017549363, 'task_completion_time_cloud': 0.5477824217616686, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
